speed_avg,acc_avg_p,acc_avg_n,speed_var,acc_var_p,acc_var_n,labels
9.63953,0.73245,-0.49194,24.78877,0.4033,0.39973,0.0
7.513,0.72676,-0.4376,21.05367,0.31207,0.3886,1.0
10.93093,0.59954,-0.35458,35.53743,0.19736,0.24464,0.0
11.78605,0.57595,-0.33156,35.81987,0.19237,0.18369,0.0
10.07348,0.58928,-0.42203,17.96603,0.26759,0.30582,0.0
14.66318,0.40352,-0.22473,23.21603,0.08773,0.13473,0.0
9.82167,0.41823,-0.2715,12.2491,0.11278,0.20063,1.0
14.88745,0.42422,-0.26015,24.40826,0.088,0.16023,0.0
16.15837,0.35215,-0.14508,19.57028,0.06335,0.09757,0.0
17.3037,0.43804,-0.19316,12.31558,0.78812,0.9609,0.0
14.21967,0.39793,-0.28458,23.3197,0.05416,0.1832,0.0
15.43459,0.36135,-0.17893,10.04035,0.05857,0.0869,0.0
13.02864,0.5013,-0.22157,6.56311,0.83273,0.44532,1.0
5.42459,0.53672,-0.24638,5.92031,0.31509,0.158,1.0
6.2586,0.29748,-0.12753,14.39679,0.02968,0.03938,1.0
7.85209,0.68378,-0.40793,25.96845,0.24112,0.27822,0.0
17.78676,0.52403,-0.44716,32.14395,0.0852,0.33986,0.0
19.68339,0.5609,-0.44248,47.64075,0.14908,0.26257,0.0
18.53558,0.44456,-0.1528,26.78367,0.07665,0.0856,0.0
13.34904,0.55888,-0.37475,54.41999,0.159,0.20975,2.0
14.91074,0.43847,-0.28112,16.27985,0.08846,0.17446,0.0
8.55679,0.59159,-0.47619,20.90953,0.19434,0.28095,1.0
10.04419,0.4886,-0.35317,25.35474,0.06606,0.17544,0.0
14.281,0.47233,-0.40241,52.26188,0.11507,0.24406,2.0
10.91613,0.43392,-0.17728,10.41426,0.08644,0.08911,1.0
19.25897,0.41708,-0.18864,46.23882,0.12335,0.12821,0.0
27.34593,0.37916,-0.11842,37.09937,1.88665,0.06126,0.0
9.91952,0.3096,-0.16849,26.81941,0.02927,0.0835,0.0
8.71573,0.64194,-0.43928,24.47585,0.15542,0.32955,0.0
13.62023,0.666,-0.40319,74.23442,0.37792,0.28456,2.0
18.47539,0.30537,-0.19854,19.66932,0.02544,0.08039,0.0
11.23728,0.55847,-0.50017,30.78673,0.53298,1.77486,0.0
8.68466,0.55762,-0.31739,20.05197,0.1422,0.14581,1.0
10.0541,0.63539,-0.34979,21.38874,0.22089,0.22208,0.0
5.38262,0.63336,-0.35419,14.63959,0.18161,0.14649,1.0
11.39245,0.38857,-0.24153,40.02134,0.07429,0.15512,0.0
1.11404,0.21219,-0.05681,0.09137,0.00514,0.01378,1.0
6.58463,0.45377,-0.32352,11.8412,0.10434,0.14613,1.0
7.41833,0.2766,-0.09113,32.76178,0.02672,0.03625,0.0
14.0222,0.26937,-0.08069,15.60833,0.02875,0.03813,0.0
12.65812,0.26706,-0.11345,26.63659,0.01778,0.0533,0.0
5.09901,0.36703,-0.17122,1.90724,0.06749,0.05436,1.0
5.15378,0.3144,-0.14198,2.00824,0.02599,0.07695,1.0
19.70885,0.41804,-0.21883,75.99497,0.10041,0.18348,2.0
14.0768,0.48089,-0.3502,23.32149,0.14105,0.2622,0.0
10.15061,0.41309,-0.27122,19.60289,0.10948,0.19218,0.0
20.49275,0.36593,-0.19305,54.06038,0.05898,0.15722,0.0
10.54802,0.52573,-0.32881,23.23043,0.17925,0.18452,0.0
10.59315,0.5994,-0.39918,36.31662,0.16728,0.30641,0.0
9.45843,0.78879,-0.4676,30.59911,5.09815,0.65224,0.0
10.38389,0.6294,-0.34598,28.0199,0.2189,0.2641,0.0
12.23633,0.50997,-0.35329,26.44405,0.11778,0.25337,0.0
12.86473,0.57459,-0.35595,21.05323,0.16487,0.21415,0.0
19.94121,0.50128,-0.22282,26.00068,0.68604,0.16943,0.0
12.27094,0.61725,-0.56771,13.12672,0.1869,0.51246,0.0
24.38566,0.27719,-0.14961,3.85873,0.01377,0.06018,0.0
17.49135,0.44625,-0.28914,15.36177,0.0949,0.15742,0.0
5.7645,0.40049,-0.1402,4.06947,0.1507,0.05936,1.0
12.06257,0.59083,-0.48026,35.76237,0.16823,0.26204,0.0
16.74161,0.39374,-0.20021,33.899,0.07332,0.10224,0.0
14.15782,0.41799,-0.28105,11.19292,0.08075,0.14022,0.0
12.75935,0.62339,-0.4229,41.87623,0.25866,0.2336,0.0
6.42565,0.52127,-0.24036,4.04265,0.14528,0.09833,1.0
6.5108,0.57606,-0.35531,20.87371,0.19592,0.17921,1.0
3.48001,0.63524,-0.34498,8.3709,0.33317,0.16122,1.0
7.79225,0.59465,-0.34303,28.40397,0.24872,0.21564,0.0
6.22565,0.55533,-0.25806,5.74937,0.49719,0.21024,1.0
4.51578,0.41643,-0.26846,8.18473,0.06719,0.14778,1.0
7.47222,0.38679,-0.237,11.90227,0.07728,0.1155,1.0
7.37943,0.66739,-0.5631,15.81669,0.28653,0.30709,1.0
8.47109,0.47957,-0.35433,17.03882,0.1032,0.18602,1.0
6.8536,0.53898,-0.46326,22.94137,0.11528,0.2674,1.0
7.03704,0.61131,-0.4862,14.14845,0.1638,0.325,1.0
7.959,0.72954,-0.41739,29.89688,0.78316,0.30386,0.0
1.15465,0.20565,-0.03687,0.06011,0.00469,0.00773,1.0
6.67749,0.43922,-0.27174,12.18957,0.0851,0.17112,1.0
11.85357,0.62062,-0.39627,32.89739,0.35856,0.27194,0.0
6.36291,0.56594,-0.36578,8.95227,0.18026,0.22801,1.0
14.68777,0.47603,-0.26632,32.03223,0.10373,0.17485,0.0
8.63141,0.64965,-0.42109,33.24115,0.14244,0.16675,0.0
15.21274,0.33501,-0.12919,9.80959,0.04824,0.0672,0.0
9.24098,0.48849,-0.33765,29.09856,0.12012,0.19843,0.0
19.97842,0.454,-0.26343,70.54047,0.13846,0.17914,2.0
13.14583,0.59728,-0.35898,67.15331,0.1401,0.1736,2.0
15.89105,0.49547,-0.3175,31.33118,0.09409,0.15019,0.0
9.32449,0.69312,-0.48874,22.99481,0.20019,0.33837,0.0
12.06264,0.62178,-0.38722,26.81109,0.21248,0.22922,0.0
18.96589,0.44222,-0.17517,52.70344,0.08363,0.12742,0.0
19.07953,0.4015,-0.25339,29.91783,0.09057,0.16735,0.0
12.78157,0.57612,-0.3146,26.73768,0.21566,0.20275,0.0
9.04184,0.72133,-0.74683,19.37982,0.23176,0.57301,1.0
18.6838,0.46093,-0.29357,38.9874,0.12847,0.23757,0.0
10.89868,0.8744,-0.66494,25.16712,0.90173,0.54053,0.0
14.7572,0.40207,-0.2166,21.71117,0.08326,0.12904,0.0
1.29752,0.22068,-0.04353,0.05346,0.01841,0.01183,1.0
8.47016,0.55087,-0.42826,13.72033,0.30417,0.30245,1.0
26.69556,0.43136,-0.19336,23.70732,1.13531,0.12939,0.0
13.28587,0.67381,-0.3582,49.28817,0.1746,0.22203,0.0
8.0664,0.85014,-0.74667,19.51283,0.42219,0.66978,1.0
18.53805,0.37118,-0.25373,92.16567,0.10535,0.15709,2.0
1.08108,0.27205,-0.05834,0.10575,0.03527,0.0182,1.0
5.28359,0.61367,-0.40411,8.74945,0.22133,0.19711,1.0
8.57889,0.49333,-0.33328,24.88209,0.11658,0.13072,0.0
5.97701,0.48235,-0.36263,24.87462,0.09524,0.20421,1.0
7.90259,0.57713,-0.35357,16.84144,0.99667,0.70985,1.0
19.04279,0.93861,-0.72654,32.07853,0.67769,0.72047,0.0
9.51571,0.62488,-0.42802,26.87086,0.21632,0.27402,0.0
4.64346,0.45836,-0.27036,2.90276,0.10529,0.08765,1.0
23.06416,0.30716,-0.19051,78.88884,0.15326,0.6495,2.0
11.65694,0.41817,-0.30546,14.26859,0.06257,0.20351,0.0
9.17854,0.46289,-0.24702,8.61104,0.10592,0.15682,1.0
1.1081,0.2368,-0.05733,0.11748,0.01434,0.01556,1.0
12.06155,0.45526,-0.248,36.15161,0.12628,0.08951,0.0
11.60136,0.59884,-0.37918,30.18107,0.21908,0.28215,0.0
8.63934,0.53455,-0.45071,23.38856,0.12447,0.42616,0.0
13.2562,0.53879,-0.34991,32.69265,0.15731,0.27938,0.0
11.99068,0.51554,-0.32333,35.12329,0.13792,0.2171,0.0
9.39262,0.54592,-0.32473,17.51946,0.16297,0.16559,1.0
15.60289,0.48668,-0.30056,36.3354,0.12484,0.13533,0.0
15.18922,0.66344,-0.4897,24.47301,0.25273,0.24403,0.0
10.2348,0.52914,-0.36575,38.56326,0.15478,0.22924,0.0
5.90205,0.55404,-0.25146,4.30461,0.19884,0.14847,1.0
5.18475,0.4956,-0.21573,6.14861,0.15824,0.09827,1.0
6.27804,0.45538,-0.27816,3.35416,0.11385,0.13344,1.0
5.83767,0.76585,-0.32268,4.28456,1.3621,0.42157,1.0
7.20643,0.54662,-0.33771,14.314,0.18265,0.17313,1.0
4.68066,0.47907,-0.29328,13.43382,0.10746,0.14329,1.0
9.51785,0.50856,-0.33007,12.12267,0.13646,0.23934,1.0
6.50264,0.59155,-0.27738,6.06837,0.54684,0.26912,1.0
16.86969,0.44697,-0.19105,39.53598,1.40448,0.22079,0.0
17.40373,0.44462,-0.28806,39.21353,0.08556,0.17093,0.0
11.99716,0.63827,-0.41644,29.61337,1.16088,0.82754,0.0
11.07366,0.5512,-0.31469,27.67304,0.16306,0.18054,0.0
13.54185,0.55076,-0.41816,57.0578,0.1647,0.28957,2.0
9.54808,0.4679,-0.38909,31.31642,0.09271,0.20569,0.0
11.9748,0.41562,-0.33677,33.38709,0.07736,0.18694,0.0
10.1362,0.64244,-0.43927,28.23073,0.20172,0.25958,0.0
6.05464,0.41844,-0.25802,6.24046,0.08256,0.12001,1.0
